Faster Pussy cat,Silent Night
Auditory Canvas,Mystery Trip (Original Mix)
La Sonora Dinamita,El Viejo Del Sombreron
Larry The Cable Guy,The First Queer Santy Claus (Album Version)
Roy Brown,Big Town
The Violet Burning,Blown Away
Billy Bragg,Sing Their Souls Back Home
Roseanna Vitro,In Search Of My Heart
Richard Galliano,Mozambique
Jimmy Nail,Love Don't Live Here Anymore
Sleepy John Estes,Special Agent (Railroad Police Blues)
Rockin' Squat,Triste Tropique (feat. Olodum & Edy Vox)
Herb Eimerman,Just Barely Famous
Radiohead,Nothing Touches Me (BBC Radio 1 Evening Session)
Buster Brown,Sugar Babe
Joe Heaney,An Sagairtin
R. Carlos Nakai,E'she'no (World)
Tony Levin,Bone And Flesh
Play,Hora de cambiar
Yespiring,Journey Stages
Doctor (Peter) Clayton,Doctor Clayton Blues
The Alarm Clocks,You're Always Near
Magnatiz,Me He Acostrumbrado(Con NS)
Little River Band,Help Is On Its Way
Brainbox,Salt & Velvet
Pauline Croze,Décembre
Dee Clark,Fever
Epos,Adagio Espressivo
Alan Silvestri,I Need Terry Sheridan
Lucio Battisti,Formiche
Oingo Boingo,I'm So Bad (10" EP)
*Shels,Atoll (Laurentian's)
Claudia Church,Lost In A Feeling (LP Version)
Heaven 17,Play To Win (12'' Extended Version)
Mara Carlyle,It's Time
Jonah33,Beautiful
Darren Hayman,Eastbourne Lights
Wakey!Wakey!,Got It Wrong
iio,Runaway (Ford Remix Radio Edit)
Confucius,Round The Bays Pt. 1
Ashley Walters,A Different World
Danny O'Keefe,Islands (LP Version)
The Band,4% Pantomime (2000 Digital Remaster)
Mississippi John Hurt,Chicken (Live)
Handsome Furs,Dead + Rural (Album)
Tito Rodriguez,Empego Naroco
Van Cliburn,Concerto No 1 In B Flat Minor_ Op23: Second Movement - Andante Semplice; Prestissimo; Tempo Primo
Mistah F.A.B ft.E40_  Mac Dre_ Messy Marv_ Yukmouth_ Mac Mall_ Mr. Kee_ Various Otheres,Kicked Out The Club
Ametsub,The Solo To Untamed Place
Gandalf,In The Presence Of Angels
Avant,Private Room Intro
Mind:State,Black Angel (Album mix)
Kevin Kern,Passages
Hilt,Green Love
Azymuth,Roda Piao (Spiritual South Remix)
Trap Them,Citizenihilist
Cheap Trick,Stop This Game
Johnny Thunders & The Heartbreakers,Flight
Reginald R. Robinson,The Scamp
Issa Bagayogo,Tamagnoko
The Boxmasters feat. Billy Bob Thornton,I Wanna Hold Your Hand
Blind Melon,All That I Need
Udo,The One
Dean Fichna,Digital Complexion
Nicole C. Mullen,Homemade (Live Version)
Babbie Mason,What In The World (Album Version)
Fyah Blaze,Curfew
Angelo dei Teppisti dei Sogni,Abbracciami Più Forte
Sir Mix-A-Lot,What's Happenin' Sun
Wallis Bird,LaLa Land
Tree,Try
Anjulie,Some Dumb Girl
The Sharks,Ghost train
Mr.Phillips,Jetlag
Braille,Conversaciones
Roll Deep,Penpals
Lauryn Hill,Selah
Nick Heyward,Over The Weekend
Cali,Pour Jane (live)
Micky Modelle v Jessy,Dancing In The Dark
KATAKLYSM,As I Slither
No Name,Thoughts Pay No Toll
Noisettes,Don't Upset The Rhythm (Go Baby Go)
DJ Sakin vs. weimaR,Secret
Tides Of Man,Not My Love
Kamelo Punto Semos,Barragán
Mr. Shadow_ Señor Sombra,Amo Que Me Odien
Foo Fighters,Still
Henry Kaiser,Lo Mismo Blues
Silhouette Brown,Time Waits For No One
John Brown\'s Body,Bread
Molly Hatchet,Dreams of life
Scienz of Life,Anthology: A Tribute to Music
Dush Tray,Mission Complete (feat. TayDaTay_ E-Sick & Hennessy)
The Souljazz Orchestra,Parasite
Irini Merkouri,Tha Me Dis
Richard Swift,The Atlantic Ocean
Arve Henriksen & Elling Vanberg,Grunnsteinar
Mother Gong,George Bush
Fausto,Eu Tenho Um Fraquinho Por Ti
Natural Born Grooves feat. Thea Austin,Bad Bad Baby
Hurl,Radishes
The Reggae Boys,Mama Look Deh (Album)
UGK (Underground Kingz),Pocket Full of Stones
Matisyahu,Warrior
Tony Joe White,Old Man Willis (Single Version) (Bonus Track)
Emiliana Torrini,Heartstopper
Mikael Stavöstrand & Franco Cinelli,Forever
The Haunted,Meat Wagon
Johnny Pearson,Energy Vibrations
The Robert Cray Band,Trouble And Pain
Naomi Shelton & the Gospel Queens,Lift My Burdens
Five Keys,The Glory Of Love
Sunshaker,Running And Hiding
Leatherface,Right Reverend
Wynona Carr,Act Right
Ravel,Bella Bella
AGATHODAIMON,Light Reborn
Bounty Killer,Lodge
Lullaby For The Working Class,The Utilitarian Christmas Jingle
The Creators feat. Consequence,Watch Us Touch
Marco Parente,Colpo Di Specchio
Jesse James,Southern Casey Jones
Coco Electrik,Love Machine
Busta Rhymes,Outro (Amended Version)
Keni Burke,You're The Best
The Badloves,Live
Daddy Freddy,Haul & Pull (Bobby Konders Remix)
Audio Two,Giz Starts Buggin' (LP Version)
Mac Wiseman (With Special Guests Lester Flatt & Chubby Wise),All I Have To Offer You Is Me
Loudness,DEADLY PLAYER
Hugh Hopper,Convicting The Squirrel (Album)
Undertakin' Daddies,Invitation To the Blues
Shaka Shamba,Shape-Eisha
Louis Armstrong,Jeepers Creepers
Panzer AG,pure tension
Barbara Mason,Oh_ How It Hurts
Love Sculpture,Seagull (The West Coast Oil Tragedy Of '68) (1999 Digital Remaster)
Steve Morse,The Clap
The Stranglers,In The Shadows
Les Hurlements D'leo,Chipoti chipota
Nick Lowe,Withered On The Vine
SO SO Modern,Vulture Kisses
LOFOFORA,Mémoire de singes
George Duke,Summer Breezin'
Ana Gabriel,Paz En Este Amor (Paz Na Cama)
220 Volt,Don't Come My Way
Opa Cupa,My Favorite Things
Zero Le Crêche,Future King
Clint Mansell,Memories (Someone We'll Never Know)
Special EFX,Awakening
Kreidler,La Casa I
The Hippy Boys,Foot Work
1.000 Mexicans,In Faith With You
Gallows,Abandon Ship [BBC Radio 1 Live Version]
Allo_ Darlin',Will You Please Spend New Year's Eve With Me?
La Descente Du Coude,L'Axe Du Mal Malaxé
Eric Clapton,After Midnight
Gordon,Vertrouw Maar Op Mij
Mikey Dread,Cover Dub (Dub / Instrumental Reggae Music)
Storybox,Vernon
Hurricane Bells,Monsters (Soundtrack Album Version)
Miley Cyrus,The Driveway
Ramesses,Ramesses II
Junior Delgado,Liberation
Mergel Kratzer,Xina
Jeff Beck,Tallyman (2005 Digital Remaster)
A Flock Of Seagulls,Nightmares
Patrick Nuo,Be Careful Not To Be Too Careful - Album Version
Sukshinder Shinda,Oh Na Kuri Labdi
Mabel Mercer,Look At 'Im (LP Version)
Burning Babylon,Rude Boots
Phalanx,Symphony in Gminor
Sergio Vargas,Las 40
Mesajah,Moc slowa
SOJA,Here I Am
Alpha,NO CHANGES IN MY LIFE
Bruce Springsteen,Better Days
DJ Rashad,Betta my Space
Classix Nouveaux,No Other Way
Endellion String Quartet,String Quartet No.3 in D major Op.18 No.3 : I Allegro
Merche,Vete De Aquí
Johnnie Ray,Such A Night
Alison Krauss,Forget About It
José Alfredo Jimenez Con Acompañamiento Del Mariachi Vargas De Tecalitlan,El Cuento
Lena & Die Jamba Band,Ja Die Giraffen
Hope Of The States,Bonfires
Carnival in Coal,Baker Street
Splender,The Loneliest Person I Know
Marion Raven,At The End Of The Day (Explicit)
Ron Kenoly,Fill the Earth
Deborah Harry,You're Too Hot (Explicit)
Kotipelto,Knowledge And Wisdom
Splithabit,Picture Frames
Crash,Turn To Dust (Remix)
Neviss,Iceland
Your Enemies Friends,Columnist
Five Deez,lattitude instrumental
Marc Broussard,Keep Coming Back [Live In Nashville]
Big Star,Mod Lang [Alternate Mix]
Pumpkin Buzzard,Gumby Killed the Dinosaur
Epidemic,Three Witches
Disembowelment,Cerulean Transience Of All My Imagined Shores
The Holiday Plan,Around My Wrists
Uzeb,Son Song
Viola,Nostalgia Amnesia
Agressiva 69,Some Bizzare
Technicolor with Flowchart,Casio Jawn
Boredoms,Super Going
Cold Sweat,Express Yourself
Doug Hoekstra,Matter of Fact
Lila Mccann,Can You Hear Me (LP Version)
Nelson Rangell,Oh Christmas Tree
Marc Depulse,Bleib Anders
Easy Star All-Stars Featuring MC Trouble,Red Stripe & Heineken
Asher D,This Is Real
Asphalt Jungle,Medusa
Novaspace,Love changes everything
Charlie Gracie,My Baby Loves Me
Supreme Majesty,Until The End Of Time
Video Nasties,HNB
Peret,¡Lo Mato!
Otros Aires,Allerdings Otros Aires
Afterlife featuring Matti Dinah,The Commandments (Acappella)
702,Steelo
Blind Blake,Keep It Home
Kaizers Orchestra,Enden av november
Charlie Peacock,One Thing (The Secret Of Time Album Version)
2 Brothers On The 4th Floor,One Day (Soul Relation Mix)
Mikromusic,Kolysanka Karolinki
Doug Stanhope,New Holes
The Smashing Pumpkins,Crush
Lord Creator,Someday
Deaf Shepherd,Logan Braes
American Hi-Fi,The Break Up Song (Live-Milwaukee)
Queen Ifrica,Locks a Grow
Renegade Hit Makers,Tell It To My Heart
Carla Cook,September Song
Scout Niblett,Valvoline
Jump5,I've Got The Music In Me (Dreaming In Color Album Version)
La Barranca,La fuga de Ruben
Dinamita Pa Los Pollos,Toro Mecanico
Shazza,CZEGO TY ¯¥DASZ
THE CHIFFONS,Mystic Voice
Johan Skugge,Canadanada
Lost Valentinos,Midnights
Bill Nelson's Red Noise,A Better Home In The Phantom Zone (1999 Digital Remaster)
Buell Kazee,The Orphan Girl
Su-Paka-Pooh,Theme De Yo-Yo (Radio Edit)
Lou Reed,Walk On The Wild Side
The Original London Cast,It's Love (from Wonderful Town)
Audrey Gagnon,Parle-moi encore de toi
Tone Damli Aaberge,The Moon Is A Harsh Mistress
Delegation,Sho" Nuff Sold On You
Dim Mak,To The Negative Power
Celebrate The Nun,You make me wonder (Beats 4 U Mix)
Suns Of Arqa,govinda`s house (Chris Nagle(Original '87 Mix))
Rebecca St. James,Jesu_ Joy Of Man's Desiring  (Christmas Album Version)
Patrick Wolf,Get Lost
Chris Botti (featuring Shawn Colvin),All Would Envy
David Palmer,Aranjuez
Copywrite,Tower Of Babble (Featuring Smut Peddlers)
The Samples,Across The Sea
Halo,A Soft Place
Terry Callier,Vocal Intro (Imagine a Nation)
Haddaway,You're Taking My Heart (Gordon's Golden Extended Dance)
Pablo Francisco,Country Music / Mexican Cowboy / Tough Cowboy
Marusha,Sexy Funky Body
Lee Ritenour,Blue Days (Dias Azuis)
Master Blaster,Walking In Memphis
BT feat. Erire,Suddenly
Devotchka,Along the Way
Darrell Scott,Shattered Cross
Menno De Jong & Leon Bolier,Last Night Tonight
Adam Sandler,Forgetful Lucy (Album Version)
Kidz Bop Kids,Girl Next Door
Worm,Raped (Americon)
Skarhead,Hardcore (Album Version)
Tristan Garner,Freedom (feat. Craig Smart)
Nico Fidenco,Che Caldo Che Fa
Don Moen,We Lift Up A Shout
Royal Treatment Plant,Hope Is Not Enough
London Symphony Orchestra and Harold Farberman,Symphony No. 1 in D Major_ "Titan": IV. Stürmisch bewegt
Tocotronic,Ja
The Run,Stumblin' In
Lauryn Hill,The Passion
Lynch Mob,Tooth & Nail
Bedlight For Blue Eyes,Ephemeral Addictions (2006)
Rocazino,Hallo_ Hallo
Iain Archer,Pressure Drop
Joe Brown / The Bruvvers,Popcorn
El Niño Gusano,Capitán Mosca (Hong Kong Phooey Mix)
Axe Riverboy,Guard
Claire Voyant,Flicker
Jerry Garcia / Merl Saunders / John Kahn / Bill Vitt,One Kind Favor
Cheer-Accident,Filet Of Nod
Funeral For A Friend,Kiss And Make Up [All Bets Are Off] [Live]
Hanson,PENNY AND ME
Herbie Mann,Between The Devil And The Deep Blue Sea
Tito Puente,Al ritmo del cha cha cha
Scott Matthews,A Reason To Go
Sadat X_ Diamond D.,Flip Styles
Eldkvarn,Bröllop i Bolivia (2005 Digital Remaster)
Alexandre Da Costa,Violin Concerto No.1 in G minor_ Op.26 - III. Allegro energico
Lillebjørn Nilsen,Nattestemning Fra En By
DevilDriver,Sin & Sacrifice (Album Version)
Useless I.D.,Pink Stars And Magazines
Ian Novak,Reflection In The Water
Remote Control Egypt,The Love You Give
Mistah F.A.B ft. Kato and Yukmouth,Let Me Do My Thang
Keb' Mo',Rita
Magic Arm,Move Out
Mischa Daniels,Take Me Higher
Disco Freaks,Take Me To The Sun
Deep Forest;Angela McClusky,Will you be ready
Bob James,I Feel A Song (In My Heart)
Immolation,The Purge
Tin Armor,New Crevices
Al Green,What Am I Gonna Do With Myself?
Les Innocents,Fous À Lier
Prefuse 73,7th Message
Romanowski,Dance Dance Dance (Tom Thump & Uplift Remix)
Kostas Martakis,Adinamia Mou
Ice T,Shut Up_ Be Happy (Album Version)
Furthest From the Star,So Many Goodbyes
Martha And The Muffins,Sinking Land (2002 Digital Remaster)
Pawtuckets,Lonely Dreams
Righteous Brothers,Drown In My Own Tears
Capitol Eye,Let's Go
Timesbold,Sewn In Seams
Indochine,Bye Bye Valentine
The 20 Belows,Summer With You
Slim Cessna's Auto Club,Thorny Crown
The Great Redneck Hope,Call Me Old-fashoined_ But I Think Trains Are Kick-ass.
Broadcast,Before We Begin
Najwa Karam,Nokta Alsatter
The-Dream,Love vs. Money: Part 2
Transilvanian Beat Club,Exzess Deluxe
Dead Prez,Don't Forget Where U Goin'
Ricki-Lee,U Wanna Little Of This
Dave Holland_ Chris Potter_ Robin Eubanks_ Steve Nelson_ Billy Kilson,What Goes Around
André van Duin,Een Echte Vriend (Ich War Noch Niemals In New York)
Stone Temple Pilots,A Song For Sleeping (LP Version)
Linda Hopkins,I'm Going To Cry Right Out Of My Mind
La Lupita,Hay Que Pegarle A La Mujer
Yvette Horner,Espana (Valse Espagnole)
Eric B. & Rakim,Set 'Em Straight
Zbigniew Preisner,Fashion Show_ Pt. II
Lushlife,Another Word For Paradise feat. Camp Lo
Psyched To Die,Staged Reality
Mal,Se te ne vai
Voces Del Rancho,Gallos Jugados
Clay Aiken,Don't Save It All For Christmas Day
Claude-Michel Schönberg,Pause Bonheur
Randy Crawford,Over My Head
Thunderbirds Are Now!,Why We War
Jade Ell,Truce
Sleep For Sleepers,The Harbor
Papa AP,Maria madalena
Sir Harry Lauder,Will You Stop Your Tickling Jock
Rikki Jai,Last Band
Jazz Liberatorz,Music makes the world go round (feat. Declaime)
Cat Power,Cross Bones Style
Hugo Strasser Und Sein Tanzorchester,There's A Kind Of Hush (Slow Fox 30 T/M)
Diomay,French Dirty South (feat.Rma2n)
Clovis,1975 (demo acústica)
Anita Lipnicka I John Porter,Chelsea Hotel #2
Été 67,Tu n'es pas là
Frankie Yankovic,Let's Be Sentimental
Shawn McDonald,My Salvation
Lionel Richie,Can't Slow Down
Raq,Push Th' Little Daisies
M.C. Luscious,Can't Deny The Rhythm
Allan Edwall,Ramsor Om Dom Och Oss (Del 2)*
Christopher,All I Have To Give
Carole Samaha,Wehyat hawana
UCast,Calipso
The Klezmatics,Bulgars #2
La venganza de la abuela,De esa jodida manera
Winston Wright / Larry McDonald,Reuben
Phyllis Hyman,Under Your Spell
Lions At Your Door,Layd
Basia,I Was A Daughter
Blue Oyster Cult,I'm On The Lamb But I Ain't No Sheep
CoCo Lee,An Shi (Innuendo)
Henri Pousseur,Crosses of crossed colors 2
Jochen Miller,Red One
Sibylle Baier,Give Me A Smile
Minipop,Wearing Thin
Art Garfunkel,Let's Fall In Love (2007 Remastered LP Version)
The Last,Every Summer Day
MC Paul Barman,Burping & Farting
Drag The River,Medicine
Sweet,Done Me Wrong All Right
Guardian,Queen Esther Mellow remix
Peter Hammill,Golden Promises
Ghost of the Russian Empire,The Winter Soldier
Marcel,Ein grüner Frosch sitzt im Bikini
Scorpions,Dark Lady
Zion I,Do It Instrumental
Olga Tañon,Desde Que Llegaste A Mi
Eddie Kirkland,Georgia Woman
Niño y pistola,This shit again
Fat Bastard,Double That  (feat. Dough & B.A.B.)
Clint Black,You Don't Need Me Now
Zukanican,Where Are the Casualties?
KB,Rain Down
John Fogerty,Blue Moon Nights
Gold City,It's Gonna Be A Good Day
ZZ Top,Sharp Dressed Man
Dodgy,The Elephant
Marumari,Searching for the Sasha Wolf
Antonio Bribiesca,Amemonos
Brother ape,Cosmic Overdose (Redux)
Alexandroid,Edinorog
Leopoldo Federico,Por Una Cabeza
Vince Guaraldi / Bola Sete,Mambossa
Hopeton Lewis,How Great Thou Art
Heart,Perfect Goodbye
Elliot Goldenthal,The Dream Within
DJ Krush,Decks-athron With Tatsuki
The Chameleons UK,Swamp Thing
Charlie Walker,Truck Drivin' man
Macabre,Ted Ted Bundy Song
Enrique Iglesias,Contigo
Detroit Grand Pubahs featuring Dynamix II,Dr Bootygrabber
Frayser Boy,I'm A Problem (Explcit Album Version)
Brusco,Superstar
William Orbit,Escape To Mexico
Paul Revere & The Raiders (featuring Mark Lindsay),Hi-Heel Sneakers
Andreas Dorau,Der Wasserfloh
Anne Akiko Meyers,Thème Et Variations
Pink Floyd,Echoes (1992 Digital Remaster)
MYSTIC PROPHECY,In hell
Daft Punk,Technologic (Vitalic Remix)
Jean Segurel,Les étangs de chez nous
IQ,Breathtaker
The Dead 60s,CNS Lazer Attack D-60
Better Luck Next Time,Disaster Bound
Branford Marsalis Quartet,Doctone
Wild Billy Childish And The Musicians Of The British Empire,Joe Strummers Grave
Silkie,I Sed
John Davis,Narrow
Uli Jon Roth,Inquisition
Maze Featuring Frankie Beverly,Joy And Pain (Live) (24-Bit Remastered 02) (2003 Digital Remaster) (Feat. Frankie Beverly)
Enos McLeod,Black Man Pickney
Bill Nelson,Do You Dream In Colour
The Enemy,Last Goodbye (Album Version)
Herman Dune,In The Summer Camp
Tom Pulse vs. Sydney Youngblood,Sunshine Electronic
Los Indios Paraguayos,Ypane
Di Grine Kuzine,Dunarea
The Limp Twins,Elemental
Tanya Morgan,Rowdy
L.S.G.,Blueprint (Single Version)
The Challengers,Wipe Out (LP Version)
Roseanna Vitro,Commitment
Tyrades,Same Sex Killers
Ice Cube feat. WC,Chrome & Paint (Explicit) (feat. WC)
Sonia Dersion,Jeannot
The Pastels,Thru' Your Heart
Candy Dulfer,2 Miles
Soldier Dolls,Headpains
67 Special,Quickdraw
Vibracathedral Orchestra,The Secret Base
DMX / L.O.X. / Mase,N****z Done Started Something
Pat Travers,Elijah
Luther Allison,K.T.
Zacarias Ferreíra,Te Saqué De La Mente
Brian Wilson,Morning Beat (Live at the AOL Studios)
Hank Williams,Rootie Tootie
Frida,Varför gräva ner sig
Ambitious Lovers,Steel Wool
The Special AKA,Racist Friend
Gerard Lenorman,Sur Les Quais
JoJo,Baby It's You
Tanto Metro & Devonte,Got News For You
Michael Nyman,Part 1 (Concerto For Harpsichord And Strings_ Move
Charlie Peacock,Lady Soul (Aretha In The A.M.)
C-Murder,Akickdoe!
Bain Wolfkind,The Eye of the Hurricane
Tonex,F@ce Down
Slum Village,Fantastic 4
Whiskeytown,Indian Gown
Schweisser,Scheisskind
Smokey Wilson,Smokey's Shuffle (Instrumental)
Mandingo,Triumphal March (1999 Digital Remaster)
Ken Navarro,Wake up call
South Froggies,Introduction à Paris
Status Quo,In The Army Now
Syrian,Enforcer (Nimm das! Remix by NamNamBulu)
Chantal Goya,Les Pierrots de Paris
Michael Stanley,What Would Frank Do
North Mississippi All Stars,Skinny Woman
Impuls,Igjennom Alt
Acoustic Strawbs,Evergreen
Matt Nathanson,Everything You Say Sounds Like Gospel
Ali & Gipp / Big Rube,Intro
Reverend Beat-Man & The Un-Believers,You Don't Know
Hombres G,Voy A Pasarmelo Bien
I Cugini Di Campagna,Buonanotte stanotte
The Association,Another Time_ Another Place (LP Version)
Stan Ridgway,Can't Stop The Show (Live)
JoAnn Campbell,I Really Really Love You (LP Version)
Dan Siegel,Next To You
McEnroe,Midlife Crisis (Early Though)
Céline Dion,A cause
Reckless Kelly,Break My Heart Tonight
Mindless Faith,The Unseen
Gabriel Batz,Clear Skies
Deaf Shepherd,Finbarr Saunders/Chloe's Passion/Dhamsadh Cainnach
The Muses Rapt,Spiritual Healing
Paul Rogers,I'll Be Creepin'
Motorcitysoul,Mango
The Byrds,Carry On
Craig Morgan,Redneck Yacht Club
Robert Natus,Getting Time
Vieja Trova Santiaguera,La guinda
Mauro Pagani,Il litigio
Steve Bug,Cherry Blossoms
Kultiration,Krigare
Gyllene Tider,En Sten Vid En Sjö I En Skog
Marcia Griffiths,Survival
Minor Majority,Either Way I Think You Know
R.L. Burnside & The Sound Machine,Searching For My Baby
Duke Ellington Orchestra,Blue Skies
Immundus,Candles
Rascal Flatts,The Day Before You
Pascal Parisot,Les filles
Sex Pistols,Einmal War Belsen Wirflich Bortrefflich (1993 Digital Remaster)
Metallic Falcons,Berry Metal
Sinéad O'Connor,Silent Night (Long Version) (2009 Digital Remaster)
Drupi,Stasera
Kid Loco,Motorcycle Angels
Ike And Tina Turner,Son Of A Preacher Man
Lapsus Dei,The Repentant Priest
& And Oceans,Halcyon: The Heavy Silence: In Silent Rain
Diego Martin,Haces llover (con Malu)
The Orioles,Once In A While
Fun Lovin' Criminals,Mi Corazon
Moneybrother,It Is Time For Falling Apart
Eko Fresh feat. G-Style,Ek is back
Play-N-Skillz,TX 2 NY  (feat. Blackchild)
Meg & Dia,Monster (Album Version)
The Mystic Underground,Song For The Brokenhearted
Bo Carter,Bo Carter Special
The Sensational Alex Harvey Band,Vambo
Peter Sarstedt,Blagged
The Click Five,Long Way To Go [Acoustic Version]
Howard Hewett,If Only
Lee Ann Womack,Stubborn (Psalms 151)
Federico Franchi,Cream (Robbie Rivera's Juicy Ibiza Mix)
Vrse Murphy,Perfect Game
Dubioza kolektiv,Cannot Forgive
The Waybacks,Last Steam Engine Train
TYR,Hipokrisia: Hipokrisia
The Glass,Four Four Letter
Giano,Good Times
Efdemin,Further Back
Arkona,Tuman Yarom
Furry Lewis,John Henry (The Steel Driving Man) (Take 2)
The Shakin' Apostles,Rudy and Yolanda
Gak Sato,The Man (Whereabouts Be Unknown)
Hardy Kingston,Auf_ auf_ zum fröhlichen Jagen/Ein Jäger aus Kurpfalz/Der Jäger in dem grünen Wald
Steve Morley,First Light
Crystal,Ha arra ébredek (rock version)
Section 25,Haunted (Live 1982)
DREAMDAZE,Simple Girl Simple Dress
